"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0573439598083,3895.2101235,0.0031590461731,5719.60867943,0.000169038772583,4120.17135387
10,0.109308004379,4659.1770395,0.0031578540802,3807.11478598,0.000190019607544,3896.96912067
15,0.141306877136,3532.65847193,0.00318694114685,3048.68062209,0.000189065933228,3602.31031102
20,0.17341709137,4162.71243532,0.00318193435669,2531.31197946,0.000196933746338,3027.99068796
25,0.20260310173,3703.50220464,0.0031590461731,2419.67314079,0.00020694732666,2437.1921724
30,0.22465801239,3329.60601588,0.00315499305725,2429.18171794,0.000209093093872,2063.98040186
35,0.25493979454,3188.25015727,0.00317406654358,2010.08218103,0.000218868255615,1975.10596997
40,0.278146982193,2278.64239514,0.00320219993591,2050.87955244,0.000216960906982,1974.57401792
45,0.292665958405,2024.58898714,0.00317621231079,2038.81256042,0.000223159790039,1946.15213392
50,0.300675868988,1977.79244191,0.00322294235229,1921.88714398,0.00023078918457,1909.16491377
55,0.320442914963,1610.96413494,0.00321912765503,1807.84049592,0.000308036804199,1816.81160825
60,0.330206871033,1461.22049045,0.00318598747253,1557.49210268,0.000243902206421,1793.76641041
65,0.335735082626,1395.94822679,0.00322985649109,1516.40814959,0.000247001647949,1793.76641041
70,0.348198890686,1373.45926588,0.00324010848999,1506.86267453,0.000252962112427,1727.39972422
75,0.351428031921,1334.50859195,0.00320506095886,1509.55916957,0.000252962112427,1727.39972422
80,0.361033916473,1311.06230407,0.00319600105286,1494.78120064,0.000256061553955,1355.25441972
85,0.358175992966,1260.27276027,0.00323414802551,1490.56793195,0.000260829925537,1280.60085952
90,0.370517969131,1230.3457583,0.00321197509766,1486.01583509,0.000262022018433,1280.60085952
95,0.376064062119,1255.69664406,0.00327396392822,1478.48911895,0.000272035598755,1147.76582279
100,0.370394945145,1269.40113611,0.00323486328125,1467.8836545,0.00028395652771,1147.76582279
