"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.0517199039459,3614.23898407,0.00339388847351,2386.5627203,0.000185012817383,4158.09581742
10,0.124745130539,2447.62412467,0.00320720672607,1487.25377011,0.000190019607544,2162.091824
15,0.170258045197,2143.5400293,0.00317716598511,1445.09786477,0.000195026397705,1802.05790585
20,0.1943359375,1618.97960722,0.00315499305725,1161.28082233,0.000203847885132,1027.60843554
25,0.222754955292,1094.67622977,0.00320816040039,1113.13670121,0.000205993652344,1001.57879378
30,0.23743891716,1077.6560715,0.00317811965942,987.470719619,0.000212907791138,883.065141837
35,0.255473852158,1213.87390992,0.00324892997742,997.279593515,0.000217914581299,805.315647041
40,0.266615152359,966.709694717,0.0032479763031,949.205587966,0.00022292137146,795.212937249
45,0.279924869537,827.416729016,0.00320196151733,944.641619378,0.000234127044678,758.571550465
50,0.290288925171,926.421246688,0.00323414802551,916.568038833,0.000233173370361,753.125524334
55,0.292660951614,899.576778474,0.00318193435669,862.022016267,0.000240087509155,744.148183724
60,0.305090904236,863.914750167,0.00321006774902,776.129848021,0.000236988067627,733.977654377
65,0.315930128098,758.100589578,0.00324511528015,738.372496979,0.000247955322266,629.18472709
70,0.323012113571,760.842727456,0.00320386886597,737.630919804,0.000247001647949,617.389922274
75,0.329193115234,726.332897495,0.00320291519165,717.16595545,0.000249862670898,617.389922274
80,0.335694074631,721.923707731,0.00323700904846,696.482419715,0.000255107879639,607.075735421
85,0.339021205902,687.915323961,0.0032639503479,683.657565279,0.000260829925537,565.72050348
90,0.345351934433,674.995554754,0.00322794914246,659.486544045,0.0002601146698,565.72050348
95,0.347743034363,546.358561305,0.00327801704407,650.078384299,0.000261068344116,539.868068902
100,0.352437973022,538.504766222,0.0033278465271,647.886074997,0.000262975692749,539.868068902
