"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00638198852539,2707.12988832,0.00324487686157,2661.76128774,0.000165939331055,3237.83936293
10,0.0133538246155,2360.88919002,0.00362610816956,2231.24867576,0.000175952911377,2132.15687303
15,0.0125949382782,2021.72144698,0.00374507904053,2074.16457897,0.00018310546875,1851.51625439
20,0.0138161182404,1583.79912827,0.00339794158936,1482.17378574,0.000231027603149,1738.27129941
25,0.0149998664856,1360.19136292,0.00346994400024,1313.8681931,0.000200033187866,1224.03369148
30,0.0158050060272,1118.18888233,0.00318098068237,1208.53842921,0.000209093093872,1120.90069629
35,0.0168168544769,1064.35421221,0.00326800346375,1225.43336392,0.000211954116821,1107.90282352
40,0.0177049636841,1049.0067423,0.00371909141541,1200.68169096,0.000223159790039,1049.22574359
45,0.0177490711212,949.193848003,0.00327610969543,1164.20557737,0.000221967697144,983.429439769
50,0.0183279514313,830.725237662,0.00323891639709,1132.45028967,0.000226020812988,966.301010974
55,0.0190739631653,764.91801314,0.00338387489319,1127.47182407,0.000262022018433,968.674810127
60,0.0196211338043,708.618888779,0.00323700904846,1122.77682508,0.000234842300415,901.051104118
65,0.0203130245209,718.957015822,0.00346302986145,1118.17736239,0.000248908996582,875.878741919
70,0.0200951099396,690.132363481,0.00344610214233,1090.94584549,0.000241041183472,736.538962246
75,0.0209178924561,652.270341948,0.0032811164856,1086.4328779,0.000255107879639,682.45511668
80,0.022490978241,618.886462047,0.00353002548218,1081.0840476,0.00025200843811,682.45511668
85,0.0213279724121,604.675791719,0.00330400466919,1067.27026313,0.000255107879639,682.45511668
90,0.0223171710968,599.939471307,0.00326704978943,1052.84656457,0.000252962112427,679.993270067
95,0.0231950283051,577.22140777,0.00335311889648,1043.68709645,0.000253915786743,679.993270067
100,0.0231239795685,566.515156985,0.00368714332581,1049.31614833,0.000272989273071,663.32732049
