"Quantidade de Pontos",Tempo Pips,Erro Pips,Tempo Volca,Erro Volca,Tempo Zigzag,Erro Zigzag
5,0.00588393211365,5537.14798751,0.00381207466125,8397.40080057,0.00018310546875,7602.6584806
10,0.00859689712524,5314.77860431,0.00325393676758,5141.61171232,0.000184059143066,7602.6584806
15,0.0121848583221,5646.76585618,0.00329303741455,5094.51317201,0.00019907951355,4436.3438648
20,0.0134119987488,4402.45800378,0.00326609611511,4134.59585781,0.00020694732666,4405.05465919
25,0.0144519805908,3684.97502253,0.00344681739807,3231.27781939,0.000237941741943,4035.22523243
30,0.0157771110535,3482.5632889,0.00341105461121,2715.11026988,0.000216007232666,3448.027436
35,0.0164699554443,2879.3529784,0.00327801704407,2579.08671784,0.000217199325562,2661.34883465
40,0.0176329612732,1857.55211795,0.00335097312927,2532.52171592,0.000248193740845,2648.62016301
45,0.0179381370544,1860.89029311,0.00339198112488,2518.30112962,0.000226020812988,2566.85336526
50,0.0186529159546,1827.73595135,0.00327801704407,2446.37908128,0.000226974487305,2557.76735431
55,0.0189909934998,1735.22247302,0.0033221244812,2238.23862907,0.000232934951782,2523.39771712
60,0.0199530124664,1716.72947623,0.00327301025391,2247.58719682,0.000235080718994,2511.29460978
65,0.0197429656982,1676.61972964,0.00329899787903,2075.96852228,0.000243902206421,1938.79929441
70,0.0200309753418,1640.83563515,0.00365996360779,2035.35634252,0.000263929367065,1938.79929441
75,0.0208671092987,1604.03627737,0.00330996513367,1949.53909583,0.000247955322266,1886.76509786
80,0.0208518505096,1559.84711879,0.00327491760254,1962.94602643,0.000472068786621,1681.1974782
85,0.021733045578,1494.25994668,0.00345301628113,1948.95489013,0.000264883041382,1578.48540291
90,0.0219559669495,1456.42607662,0.00341296195984,1941.0290814,0.000263929367065,1578.48540291
95,0.0221982002258,1451.57847546,0.0035879611969,1927.9150516,0.000263929367065,1578.48540291
100,0.0227859020233,1433.96290198,0.00371813774109,1900.12725839,0.000277042388916,1524.78046834
