market/points,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
saida/BRAP4.csv,8014.64485716,4505.57601752,3360.38476627,3291.52046554,3179.49630382,2125.85182322,2180.18618477,2123.61749999,2093.69548141,2019.52537198,2020.80992358,1985.15636455,1953.19570224,1936.1993459,1933.20684552,1904.56410851,1881.39892245,1845.89278477,1837.80449112,1812.42875103
saida/USIM5.csv,6677.0079647,2259.1123937,1838.05382268,1631.10000656,1651.10144446,1662.68306986,1430.65827911,1380.73804203,1303.14088052,1235.06260288,1198.08557879,1173.2671585,1152.26231739,1129.81374198,1120.19088703,1059.21928981,1059.36991135,1030.70273529,1011.57892013,979.260234423
saida/VALE3.csv,8397.40080057,5141.61171232,5094.51317201,4134.59585781,3231.27781939,2715.11026988,2579.08671784,2532.52171592,2518.30112962,2446.37908128,2238.23862907,2247.58719682,2075.96852228,2035.35634252,1949.53909583,1962.94602643,1948.95489013,1941.0290814,1927.9150516,1900.12725839
saida/HYPE3.csv,5168.90324971,3867.71034717,1741.90975426,1380.87427299,1429.09829623,1366.01954819,1235.69617943,1217.12373572,1168.52569715,1136.03065974,1078.17126858,1044.20440939,997.037199891,984.082472486,948.201882755,942.910699215,912.449951394,901.250485902,898.775376339,845.408709899
saida/ITSA4.csv,1110.78521557,814.322467205,683.040151147,486.752101701,485.78380614,409.783272467,364.980233064,347.536366396,321.689031459,291.359527579,294.043504176,284.872246826,280.044071781,279.377004219,277.934569116,273.273276309,271.654109914,267.897098831,266.653767826,253.603867967
saida/WEGE3.csv,1048.60554324,914.324566914,791.773546741,642.967155438,473.467773744,425.502463936,404.284633747,391.816125876,373.935249502,366.668357912,357.50136161,351.285018515,347.940771368,339.030650668,336.830678911,334.559565246,331.950294113,327.464247118,325.016399123,323.662359829
saida/EQTL3.csv,2388.33133035,1880.73720337,1136.85352321,1085.32562864,909.528121026,731.303688859,762.34811526,720.540050423,623.402993099,629.578601591,624.150004979,633.681434514,610.628132121,604.717999269,579.007639421,567.182340719,563.435499418,571.536085806,562.683903963,563.742292131
saida/ELET3.csv,4126.34122188,2891.22938349,2534.80662874,1470.44868494,1423.53971372,1380.51549575,1274.09897906,1270.11642151,1268.36560798,1208.85616525,1167.94928941,1166.84098327,1152.86748197,1149.55699847,1144.86851122,1139.62619187,1136.32715939,1109.17278959,1104.33835956,1096.64508394
saida/NATU3.csv,6152.30216916,4499.08557708,3738.92582106,2375.64508284,2227.948571,2292.58981254,2067.47354369,1964.26936623,1873.62653577,1889.74568252,1855.38399704,1734.65504114,1707.24801006,1676.33029666,1656.45679795,1603.43743918,1587.59657649,1570.53271581,1559.99241841,1518.05280669
saida/MRFG3.csv,4484.55670785,3281.09886742,1699.73500336,1548.75198206,1291.54872438,1139.93097589,1050.28335187,1028.11062472,1002.67481779,991.175340571,958.402460992,938.692874519,928.765636442,914.936370214,885.993170424,882.976977878,858.230736819,847.458698704,841.315529801,825.47902635
saida/LREN3.csv,87.012081714,85.5707100806,42.3514955305,28.7237323352,28.7045416177,28.0780090151,27.5395345475,26.002224111,25.9507387295,24.7149664108,24.7522712632,23.227783932,22.669789812,20.7775123714,20.8298554778,20.1793503533,20.1578110586,19.9146230948,19.8005316699,19.5085764016
saida/VALE5.csv,5463.45445621,4387.78121525,4452.8290098,3975.88359751,2703.16813114,2228.6059241,2248.94809319,2188.86804284,2135.91268781,1886.57301472,1799.91794934,1765.5525783,1727.62768029,1690.05035349,1704.14711579,1696.41809498,1668.90478832,1651.96758292,1638.71785357,1627.63826644
saida/MRVE3.csv,2581.45099909,1523.02249931,1354.57995903,1291.89704888,1289.69992729,1237.62066618,1211.49927257,1177.91484863,1021.3630495,958.94490509,938.54747829,920.077763345,907.190236659,897.976638367,891.451122785,889.178025043,873.506300268,861.549546755,845.94836081,844.049992232
saida/MULT3.csv,8077.72867456,5316.58571332,5302.91074801,2466.1221212,2136.83443206,2066.39899296,2128.67855021,2101.97962633,1994.25870803,1906.73355077,1906.37359279,1763.12953931,1653.57667799,1628.87371581,1614.45470722,1558.60436702,1493.66054174,1454.83347062,1445.12890537,1417.33642407
saida/ESTC3.csv,1505.5898868,1419.20908248,1026.84165707,961.200479553,782.696972205,684.421296164,661.555350609,579.248523898,579.727180363,509.351966208,488.296234618,478.667185997,479.127375988,475.54982626,466.047112159,458.266648411,459.606147009,451.584778852,439.81756773,402.240156925
saida/SBSP3.csv,2526.36161633,2549.14650927,2335.01461599,1677.8952281,1549.54176031,1178.62386893,1018.17094542,1009.31846614,985.854095034,970.935786678,952.662782721,923.51032991,897.811592043,875.293059854,867.586981659,857.244909151,845.93141252,820.851198248,775.266740796,746.33952337
saida/CMIG4.csv,5846.09216592,5080.090947,3069.88255511,2666.57837787,2331.77378782,2100.85173504,1695.64782364,1434.13123019,1388.66553977,1345.68824608,1339.27754529,1314.10582202,1294.18709971,1294.24238253,1280.53978644,1265.23827543,1251.39772996,1236.6125653,1232.44426356,1217.95811078
saida/VIVT4.csv,5719.60867943,3807.11478598,3048.68062209,2531.31197946,2419.67314079,2429.18171794,2010.08218103,2050.87955244,2038.81256042,1921.88714398,1807.84049592,1557.49210268,1516.40814959,1506.86267453,1509.55916957,1494.78120064,1490.56793195,1486.01583509,1478.48911895,1467.8836545
